Player,Team,Pick
"Christian McCaffrey Car, RB",TMEC 😎,1
"Saquon Barkley NYG, RB",LV GAMBLERS,2
"Dalvin Cook Min, RB",BUSHWICK BULLIES,3
"Derrick Henry Ten, RB",LA TOMCATS,4
"Patrick Mahomes KC, QB",Boof Nation imsimplycc,5
"Nick Chubb Cle, RB",TOMPA BRADY,6
"Travis Kelce KC, TE",Anaheim Pigs,7
"Alvin Kamara NO, RB",SUN CITY GOONS,8
"Davante Adams GB, WR",Buy My OnlyPhins,9
"Ezekiel Elliott Dal, RB",Oaxacan Red Beards,10
"Austin Ekeler LAC, RB",TMEC 😎,11
"Jonathan Taylor Ind, RB",LV GAMBLERS,12
"Tyreek Hill KC, WR",BUSHWICK BULLIES,13
"Najee Harris Pit, RB",LA TOMCATS,14
"Aaron Jones GB, RB",Boof Nation imsimplycc,15
"Antonio Gibson Wsh, RB",TOMPA BRADY,16
"Joe Mixon Cin, RB",Anaheim Pigs,17
"Stefon Diggs Buf, WR",SUN CITY GOONS,18
"DK Metcalf Sea, WR",Buy My OnlyPhins,19
"DeAndre Hopkins Ari, WR",Oaxacan Red Beards,20
"Calvin Ridley Atl, WR",Oaxacan Red Beards,21
"A.J. Brown Ten, WR",Buy My OnlyPhins,22
"Clyde Edwards-Helaire KC, RB",SUN CITY GOONS,23
"Justin Jefferson Min, WR",Anaheim Pigs,24
"Mike Evans TB, WR",TOMPA BRADY,25
"Keenan Allen LAC, WR",Boof Nation imsimplycc,26
"Terry McLaurin Wsh, WR",LA TOMCATS,27
"CeeDee Lamb Dal, WR",BUSHWICK BULLIES,28
"Darren Waller LV, TE",LV GAMBLERS,29
"George Kittle SF, TE",TMEC 😎,30
"Allen Robinson II Chi, WR",TMEC 😎,31
"Josh Allen Buf, QB",LV GAMBLERS,32
"Logan Thomas Wsh, TE",BUSHWICK BULLIES,33
"Amari Cooper Dal, WR",LA TOMCATS,34
"Adam Thielen Min, WR",Boof Nation imsimplycc,35
"Julio Jones Ten, WR",TOMPA BRADY,36
"Miles Sanders Phi, RB",Anaheim Pigs,37
"Robert Woods LAR, WR",SUN CITY GOONS,38
"David Montgomery Chi, RB",Buy My OnlyPhins,39
"James Robinson Jax, RB",Oaxacan Red Beards,40
"Josh Jacobs LV, RB",Oaxacan Red Beards,41
"Chris Carson Sea, RB",Buy My OnlyPhins,42
"Kyler Murray Ari, QB",SUN CITY GOONS,43
"Tyler Lockett Sea, WR",Anaheim Pigs,44
"Kyle Pitts Atl, TE",TOMPA BRADY,45
"Mark Andrews Bal, TE",Boof Nation imsimplycc,46
"Aaron Rodgers GB, QB",LA TOMCATS,47
"Lamar Jackson Bal, QB",BUSHWICK BULLIES,48
"Chris Godwin TB, WR",LV GAMBLERS,49
"Cooper Kupp LAR, WR",TMEC 😎,50
"D'Andre Swift Det, RB",TMEC 😎,51
"Odell Beckham Jr. Cle, WR",LV GAMBLERS,52
"Kareem Hunt Cle, RB",BUSHWICK BULLIES,53
"Gus Edwards Bal, RB",LA TOMCATS,54
"DJ Moore Car, WR",Boof Nation imsimplycc,55
"Tom Brady TB, QB",TOMPA BRADY,56
"Brandon Aiyuk SF, WR",Anaheim Pigs,57
"Diontae Johnson Pit, WR",SUN CITY GOONS,58
"T.J. Hockenson Det, TE",Buy My OnlyPhins,59
"Kenny Golladay NYG, WR",Oaxacan Red Beards,60
"Dak Prescott Dal, QB",Oaxacan Red Beards,61
"Javonte Williams Den, RB",Buy My OnlyPhins,62
"Tee Higgins Cin, WR",SUN CITY GOONS,63
"Chase Edmonds Ari, RB",Anaheim Pigs,64
"Damien Harris NE, RB",TOMPA BRADY,65
"Ravens D/ST Bal, D/ST",Boof Nation imsimplycc,66
"Robert Tonyan GB, TE",LA TOMCATS,67
"Mike Davis Atl, RB",BUSHWICK BULLIES,68
"Courtland Sutton Den, WR",LV GAMBLERS,69
"Myles Gaskin Mia, RB",TMEC 😎,70
"Russell Wilson Sea, QB",TMEC 😎,71
"Ja'Marr Chase Cin, WR",LV GAMBLERS,72
"DeVonta Smith Phi, WR",BUSHWICK BULLIES,73
"Chase Claypool Pit, WR",LA TOMCATS,74
"Leonard Fournette TB, RB",Boof Nation imsimplycc,75
"Jerry Jeudy Den, WR",TOMPA BRADY,76
"Justin Herbert LAC, QB",Anaheim Pigs,77
"Darrell Henderson Jr. LAR, RB",SUN CITY GOONS,78
"Robby Anderson Car, WR",Buy My OnlyPhins,79
"Noah Fant Den, TE",Oaxacan Red Beards,80
"William Fuller V Mia, WR",Oaxacan Red Beards,81
"Michael Gallup Dal, WR",Buy My OnlyPhins,82
"JuJu Smith-Schuster Pit, WR",SUN CITY GOONS,83
"Brandin Cooks Hou, WR",Anaheim Pigs,84
"Michael Thomas NO, WR",TOMPA BRADY,85
"Justin Tucker Bal, K",Boof Nation imsimplycc,86
"Laviska Shenault Jr. Jax, WR",LA TOMCATS,87
"Curtis Samuel Wsh, WR",BUSHWICK BULLIES,88
"Deebo Samuel SF, WR",LV GAMBLERS,89
"Tyler Boyd Cin, WR",TMEC 😎,90
"Raheem Mostert SF, RB",TMEC 😎,91
"Melvin Gordon III Den, RB",LV GAMBLERS,92
"Ronald Jones II TB, RB",BUSHWICK BULLIES,93
"Marquise Brown Bal, WR",LA TOMCATS,94
"Mike Williams LAC, WR",Boof Nation imsimplycc,95
"Antonio Brown TB, WR",TOMPA BRADY,96
"DJ Chark Jr. Jax, WR",Anaheim Pigs,97
"Trey Sermon SF, RB",SUN CITY GOONS,98
"Marvin Jones Jr. Jax, WR",Buy My OnlyPhins,99
"Corey Davis NYJ, WR",Oaxacan Red Beards,100
"Jarvis Landry Cle, WR",Oaxacan Red Beards,101
"Sony Michel LAR, RB",Buy My OnlyPhins,102
"Tyler Higbee LAR, TE",SUN CITY GOONS,103
"Henry Ruggs III LV, WR",Anaheim Pigs,104
"James Conner Ari, RB",TOMPA BRADY,105
"Ben Roethlisberger Pit, QB",Boof Nation imsimplycc,106
"Jaylen Waddle Mia, WR",LA TOMCATS,107
"Jakobi Meyers NE, WR",BUSHWICK BULLIES,108
"Michael Pittman Jr. Ind, WR",LV GAMBLERS,109
"David Johnson Hou, RB",TMEC 😎,110
"Marquez Callaway NO, WR",TMEC 😎,111
"Buccaneers D/ST TB, D/ST",LV GAMBLERS,112
"Bills D/ST Buf, D/ST",BUSHWICK BULLIES,113
"AJ Dillon GB, RB",LA TOMCATS,114
"A.J. Green Ari, WR",Boof Nation imsimplycc,115
"Phillip Lindsay Hou, RB",TOMPA BRADY,116
"Zack Moss Buf, RB",Anaheim Pigs,117
"Harrison Butker KC, K",SUN CITY GOONS,118
"Jalen Hurts Phi, QB",Buy My OnlyPhins,119
"Kenyan Drake LV, RB",Oaxacan Red Beards,120
"Michael Carter NYJ, RB",Oaxacan Red Beards,121
"Jonnu Smith NE, TE",Buy My OnlyPhins,122
"Rams D/ST LAR, D/ST",SUN CITY GOONS,123
"Dallas Goedert Phi, TE",Anaheim Pigs,124
"Mike Gesicki Mia, TE",TOMPA BRADY,125
"James White NE, RB",Boof Nation imsimplycc,126
"Jamaal Williams Det, RB",LA TOMCATS,127
"Washington D/ST Wsh, D/ST",BUSHWICK BULLIES,128
"Matthew Stafford LAR, QB",LV GAMBLERS,129
"Steelers D/ST Pit, D/ST",TMEC 😎,130
"Younghoe Koo Atl, K",TMEC 😎,131
"Brandon McManus Den, K",LV GAMBLERS,132
"Jason Myers Sea, K",BUSHWICK BULLIES,133
"Devin Singletary Buf, RB",LA TOMCATS,134
"Mecole Hardman KC, WR",Boof Nation imsimplycc,135
"Patriots D/ST NE, D/ST",TOMPA BRADY,136
"Ryan Tannehill Ten, QB",Anaheim Pigs,137
"Gerald Everett Sea, TE",SUN CITY GOONS,138
"Cole Beasley Buf, WR",Buy My OnlyPhins,139
"DeVante Parker Mia, WR",Oaxacan Red Beards,140
"49ers D/ST SF, D/ST",Oaxacan Red Beards,141
"Broncos D/ST Den, D/ST",Buy My OnlyPhins,142
"Joe Burrow Cin, QB",SUN CITY GOONS,143
"Browns D/ST Cle, D/ST",Anaheim Pigs,144
"Jason Sanders Mia, K",TOMPA BRADY,145
"Rob Gronkowski TB, TE",Boof Nation imsimplycc,146
"Colts D/ST Ind, D/ST",LA TOMCATS,147
"Zach Ertz Phi, TE",BUSHWICK BULLIES,148
"Nyheim Hines Ind, RB",LV GAMBLERS,149
"Alexander Mattison Min, RB",TMEC 😎,150
"Tony Pollard Dal, RB",TMEC 😎,151
"Austin Hooper Cle, TE",LV GAMBLERS,152
"Baker Mayfield Cle, QB",BUSHWICK BULLIES,153
"Graham Gano NYG, K",LA TOMCATS,154
"Jalen Reagor Phi, WR",Boof Nation imsimplycc,155
"Mac Jones NE, QB",TOMPA BRADY,156
"Matt Gay LAR, K",Anaheim Pigs,157
"Giovani Bernard TB, RB",SUN CITY GOONS,158
"Greg Zuerlein Dal, K",Buy My OnlyPhins,159
"Tyler Bass Buf, K",Oaxacan Red Beards,160
